ref_cell_id_fine,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
0,0.4081407811302863,0.02300965218548629,0.13819239736490818,,0.008318443241132454,0.13663298321156944,0.11624559035872988,,0.10922877637838245,0.0804142177391856,0.03921972121462782,0.12177421458230779
1,0.2717226744754867,0.16090499955317536,0.1665360266793389,0.4648555734853711,0.43070555232418156,0.13645506075811736,0.6707473586077467,0.1697471624855859,0.07479006731321648,0.10012916816352076,0.43525656362832094,0.6493940464090969
2,0.32552191370525124,0.13602923601073905,0.3582748672262808,0.547114286831085,0.017227033140016293,0.619598360676458,0.18615966157871075,0.11069816788192391,0.1856022291211684,0.6050391002148416,0.09208603683802624,0.4755813226776483
3,0.07641020373783541,0.1607775876506873,0.2023656457911125,0.43934153625574857,0.01031297956098139,0.14916372070682685,0.2012141196910018,0.08307632220490432,0.7420215436137386,0.1841111475841891,0.08946487357914672,0.10684291240070311
4,0.4179880079710732,0.11997366451089407,0.11153982637845594,0.4868630996210106,0.037274480311798634,0.08838900457283702,0.15857945636127355,0.04362326457656336,0.0556614234069747,0.0799663292672811,0.3033769413157544,0.3247848174236856
5,0.20139781087802427,0.12412233642774784,0.28846845245277397,0.5810727105931377,0.055516036610695055,0.6821361980087145,,0.07728383846885814,0.1361856222636665,0.4715318867218232,0.1931827471976401,0.6723090132323621
6,0.3900419875531656,0.14546392824813204,0.2275318873470263,0.5967355182748466,0.1251630623684896,0.22232357867034608,0.341010287271957,0.05668345479247146,0.08770605309503932,0.17555888418791074,0.443557806515159,0.634073469728247
7,0.21919906162728986,0.13997812496660253,0.050083454671710714,0.4893588469048265,0.0947252383200331,0.13125646409548036,0.24018183973970797,0.06908615633662687,0.07190392445075412,0.1646371887394404,0.5329168682613421,0.3287205310037044
8,0.10026738581122335,0.06187867383319415,0.07300461103495076,0.6540781816786981,0.02057694265412402,0.1874103645164893,0.19822078294964898,0.0850078779640504,0.14228112069109897,0.14406910428765282,0.1342275228836889,0.23133821791165024
9,0.2434475834493807,0.1232493839665832,0.1854674464554235,0.5185933081456863,0.9075360062139801,0.16705359897733457,0.5862198465620893,0.06832514139786255,0.08928047596583681,0.13007527291930232,0.5089956406958256,0.796900145537324
