ref_cell_id,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
0,0.24949693808909745,0.031554192841788314,0.1090208199529916,0.6045778582449753,0.039512981917033424,0.1685436369482624,0.10401919324524851,0.38103512889300717,0.13575180975304427,0.1926086980385144,0.14494887592668687,0.19143463470131564
1,0.2976779470044001,0.10047123363873997,0.1674252086964924,0.5524103640473729,0.37443325811018285,0.12869800533034906,0.1660471592847235,0.3423512009775475,0.1060611144335367,0.15882624404480608,0.41375954036089285,0.45093940304536345
2,0.19846550436466448,0.15798151181218148,0.32000051087347237,0.6229595691033059,0.019970468375327406,0.4935923518851197,0.264082522321967,0.09445239986309188,0.20237663200865222,0.48867011785183384,0.10461579462146818,0.42664207307628454
3,0.114427507804935,0.1427840411169064,0.11344441515500356,0.5255418408086379,0.031878270050244725,0.15477440895590358,0.3752089209581479,0.0457528557495388,0.1389732026365032,0.1973017469017148,0.27284949039400386,0.48309373825207014
4,0.48463046228665924,0.09103247147193956,0.21808435992461325,0.5554250456894408,0.028320806607013856,0.13119556284880973,0.11517430373214753,0.05688771711659468,0.29070416941423194,0.29924529072483913,0.07312164204196196,0.2827637366707263
5,0.3131926297430541,0.09429541333742544,0.3425161982726528,0.5514734440325558,0.028579182655703826,0.5794476600752769,0.1812699171487552,0.07132006048577522,0.14600393715146057,0.4740846723517319,0.15391087259467612,0.49515946827269963
6,0.5079991943670285,0.1284697638756751,0.0824537713855352,0.5028472471708119,0.023050579190592727,0.129047902874636,0.13784551507265005,0.04692691109990929,0.08547032692831957,0.271993963826041,0.11190741869882306,0.21079650285154627
7,0.1699722237924552,0.09862382535480739,0.20410300682556323,0.6021988879608381,0.08493794762419264,0.2879077669524562,0.5347580593832706,0.06927278956564785,0.10542820350830095,0.1728956623266642,0.2898370641612642,0.7775121597478386
8,0.2694738381507342,0.16919216825718167,0.10367735646392798,0.5033779698084218,0.24844203220322916,0.10883128541421853,0.3325419515522385,0.31672075874754685,0.08541562146831749,0.12952898489431283,0.3853043613298517,0.3973681408858877
9,0.37210725925317023,0.13008994772216095,0.22044938435968034,0.5304644823922026,0.28547357706772564,0.16885642767293615,0.3824942924664714,0.0790125229356296,0.1077733432349426,0.13433494088513542,0.4941281847742759,0.6523587037260385
10,0.40954055560269736,0.12417053602426643,0.06353093893506499,0.5430029714008828,0.025117454847740944,0.1124733913690777,0.10785310559243448,0.06288277161964503,0.057801765892371106,0.1236789230834427,0.25891815476145613,0.19535541390282057
11,0.25157296360668924,0.20089795207827177,0.20212882335968047,0.474890946030955,0.07570070277591139,0.20512277484214655,0.3317404822578718,0.2083792219953465,0.10751801603734663,0.14406974306687761,0.18178277589062136,0.33568329580467454
12,0.2982154780562242,0.13044268462446235,0.32164836048482587,0.5443681223243805,0.06383156509617792,0.44056279608045695,0.24815381544947576,0.0851114895917888,0.1635499858180005,0.3537365416352954,0.29441686151740865,0.6582984862940956
13,0.20038632007298401,0.1308129588173116,0.40971848535981126,0.6090117296583174,0.030694634862980227,0.17563179883599062,0.18164838346233106,0.10572324380759236,0.6625979612564593,0.254609695552042,0.1131525395520857,0.0906022323968057
14,0.44835690470319317,0.14585555769085912,0.1560177063727323,0.4919439201028222,0.015459658856985603,0.13788750572005648,0.1529225979443546,0.03915824109201721,0.09142576807783714,0.13230482086248543,0.1483693364930572,0.41642099609173727
15,0.39265590872239986,0.11412045952266534,0.40237081282475073,0.6767801193610028,0.020958276448298358,0.2121579494450033,0.25894370931722155,0.09127149195173995,0.6082364335820672,0.3606285234590165,0.1288173001408752,0.09412227439362963
16,0.14198780097554617,0.11341956838628219,0.2433726624120716,0.7154750431573705,0.03413244010095277,0.33838393023900987,0.40492890368605966,0.059219874427749515,0.1654925615668111,0.45774356683490014,0.12484040775422219,0.41368309752406335
17,0.3503154413502664,0.19686955418223473,0.203645582144436,0.5191989573812335,0.037702618470153125,0.22860998740132485,0.18804814660412084,0.252906324312383,0.17066494481321937,0.22540363508190667,0.1485425311768822,0.32503584159843923
18,0.16923512540985317,0.17230697684101057,0.059934157306995826,0.5082763590883613,0.05342883650897439,0.14164614026851433,0.2923291031508617,0.12335144914790448,0.08876147575680206,0.13741794474077215,0.42748425524541567,0.40486227658062646
19,0.36392209192594305,0.16985174135805148,0.07032771724299382,0.48915689566467063,0.023109949394005694,0.11301188808086743,0.0949466504624902,0.08421613295062898,0.07201937579690897,0.10655856550298552,0.4409861548117753,0.208853906294053
20,0.1862874185852114,0.07590592980472452,0.10683408528035893,0.6023363613225715,0.038791688417763565,0.1675293524606766,0.11413492697927118,0.5586341544950861,0.1368551521364625,0.2510364136250458,0.18506602734080932,0.18174557149996753
21,0.2364385378261329,0.08727591195810251,0.3108895809158,0.5172524127165762,0.06450845663833772,0.5587073146272118,0.34185427225206705,0.07144102645323662,0.15191216665423318,0.30467305018825386,0.22325832105354232,0.5436699916002258
22,0.2775397033653627,0.0715058228105204,0.05884164223263131,0.6156618613912505,0.04160797780282689,0.1399070448231781,0.07624294822886464,0.4004839150703197,0.0827633118814414,0.1928380021564446,0.22858524715575423,0.17855681361852496
23,0.11410098538525187,0.17640083874623758,0.1619313967703392,0.5589332014169631,0.019813552228598888,0.17261429189322397,0.32514805772905403,0.055760983641372504,0.17269893630590066,0.23152482734180874,0.09969367063465243,0.3765009541964944
24,0.27626916856029665,0.0963350144355993,0.23086464376243807,0.5099823925105715,0.5020723172906895,0.2253461573892741,0.42900874773080405,0.21867988626428922,0.0921016798877099,0.15448996190406555,0.49453427262570365,0.6878209012761237
25,0.03622497828504172,0.16614201719556887,0.11355324138172394,0.5965990047616565,0.016473308946863555,0.13850310287419346,0.22910458593144523,0.07657162275830971,0.2293833178824828,0.18072301050130182,0.2720044494770733,0.3332091919761224
26,0.3510490181106891,0.05078884079981695,0.1165145931395227,0.691002762163586,0.031681916262295606,0.10850081676567823,0.07638915648278094,0.6010811481302326,0.10295949872057436,0.14960412593810393,0.1709117558457451,0.18338269239376875
